nombre_sector,nombre_sector_code,nro_crianza,Pabellón,Cantidad Total,Fecha Guía Inicio,Fecha Guía Fin,Peso Promedio,sexo,mes_carga,anio_carga,edad_actual,edad_proyeccion_dias,edad_criterio_proyeccion,Edad,kilos_recibidos_percapita,tipoConstruccion,densidad_pollos_m2,nombre,zonaGeografica,ganancia_proyectada
LOLENCO,lolenco,136,8,19200,2025-10-17,2025-10-17,44.4375,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
LOLENCO,lolenco,136,9,19200,2025-10-16,2025-10-17,51.78385416666666,MACHO,10,2025,34,30,34.0,30,3.071895424836601,Tradicional,12.467532467532468,lolenco,COSTA,73.4119717724054
LOS CULENES,los culenes,176,1,34800,2025-10-11,2025-10-11,37.34942528735632,MACHO,10,2025,40,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,2,34800,2025-10-11,2025-10-11,42.55459770114943,MACHO,10,2025,40,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,3,34800,2025-10-11,2025-10-11,49.0,MACHO,10,2025,40,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,4,34800,2025-10-11,2025-10-11,48.70114942528736,MACHO,10,2025,40,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,5,34800,2025-10-11,2025-10-13,49.90229885057471,MACHO,10,2025,38,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,6,34800,2025-10-13,2025-10-13,43.08908045977012,MACHO,10,2025,38,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,7,34800,2025-10-11,2025-10-13,45.20977011494253,MACHO,10,2025,38,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,8,34800,2025-10-11,2025-10-13,48.81752873563219,MACHO,10,2025,38,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,9,34800,2025-10-11,2025-10-11,49.12068965517241,MACHO,10,2025,40,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,10,34800,2025-10-13,2025-10-13,47.293103448275865,MACHO,10,2025,38,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,11,34800,2025-10-11,2025-10-13,42.45280977011495,MACHO,10,2025,38,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,12,34800,2025-10-13,2025-10-13,49.4051724137931,MACHO,10,2025,38,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,13,34800,2025-10-13,2025-10-14,48.43218390804598,MACHO,10,2025,37,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,14,34800,2025-10-14,2025-10-14,45.083333333333336,MACHO,10,2025,37,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS CULENES,los culenes,176,15,34800,2025-10-14,2025-10-14,43.14367816091954,MACHO,10,2025,37,30,38.46666666666667,30,3.417131873906121,Black Out,14.5,los culenes,COSTA,77.87245841689347
LOS PERALES,los perales,5,10,26100,2025-10-10,2025-10-11,37.92417624521073,HEMBRA,10,2025,40,30,42.5,30,3.0686461722777345,Black Out,14.5,los perales,Sur,63.22080698208649
LOS PERALES,los perales,5,11,26100,2025-10-11,2025-10-11,37.78352490421456,HEMBRA,10,2025,40,30,42.5,30,3.0686461722777345,Black Out,14.5,los perales,Sur,63.22080698208649
LOS PERALES,los perales,5,12,26100,2025-10-11,2025-10-11,42.97701149425287,HEMBRA,10,2025,40,30,42.5,30,3.0686461722777345,Black Out,14.5,los perales,Sur,63.22080698208649
LOS PERALES,los perales,5,13,26100,2025-10-11,2025-10-11,45.206896551724135,HEMBRA,10,2025,40,30,42.5,30,3.0686461722777345,Black Out,14.5,los perales,Sur,63.22080698208649
LOS PERALES,los perales,5,14,26100,2025-10-11,2025-10-11,48.83141762452107,HEMBRA,10,2025,40,30,42.5,30,3.0686461722777345,Black Out,14.5,los perales,Sur,63.22080698208649
MELÓN,melon,4,1,40500,2025-10-14,2025-10-15,38.05368,HEMBRA,10,2025,36,30,32.25,30,1.331803439330141,Black Out,18.0,melon,Centro,64.70389853931609
MELÓN,melon,4,2,40500,2025-10-15,2025-10-15,39.3679012345679,HEMBRA,10,2025,36,30,32.25,30,1.331803439330141,Black Out,18.0,melon,Centro,64.70389853931609
MELÓN,melon,4,3,40500,2025-10-15,2025-10-15,42.98765432098765,HEMBRA,10,2025,36,30,32.25,30,1.331803439330141,Black Out,18.0,melon,Centro,64.70389853931609
MELÓN,melon,4,4,40500,2025-10-17,2025-10-18,37.84327901234568,HEMBRA,10,2025,33,30,32.25,30,1.331803439330141,Black Out,18.0,melon,Centro,64.70389853931609
MELÓN,melon,4,5,40500,2025-10-18,2025-10-18,41.27654320987654,HEMBRA,10,2025,33,30,32.25,30,1.331803439330141,Black Out,18.0,melon,Centro,64.70389853931609
MELÓN,melon,4,6,40500,2025-10-18,2025-10-18,46.41975308641975,HEMBRA,10,2025,33,30,32.25,30,1.331803439330141,Black Out,18.0,melon,Centro,64.70389853931609
PUANGUE,puangue,135,1,19200,2025-10-17,2025-10-17,44.3125,MACHO,10,2025,34,30,33.77777777777778,30,3.695695203363704,Tradicional,12.467532467532468,puangue,COSTA,75.0293621533327
PUANGUE,puangue,135,2,19200,2025-10-17,2025-10-17,48.30729166666666,MACHO,10,2025,34,30,33.77777777777778,30,3.695695203363704,Tradicional,12.467532467532468,puangue,COSTA,75.0293621533327
PUANGUE,puangue,135,3,19200,2025-10-17,2025-10-17,49.0,MACHO,10,2025,34,30,33.77777777777778,30,3.695695203363704,Tradicional,12.467532467532468,puangue,COSTA,75.0293621533327
PUANGUE,puangue,135,4,19200,2025-10-17,2025-10-17,49.58854166666666,MACHO,10,2025,34,30,33.77777777777778,30,3.695695203363704,Tradicional,12.467532467532468,puangue,COSTA,75.0293621533327
PUANGUE,puangue,135,5,19200,2025-10-17,2025-10-17,51.645833333333336,MACHO,10,2025,34,30,33.77777777777778,30,3.695695203363704,Tradicional,12.467532467532468,puangue,COSTA,75.0293621533327
PUANGUE,puangue,135,6,19200,2025-10-17,2025-10-18,50.20572916666666,MACHO,10,2025,33,30,33.77777777777778,30,3.695695203363704,Tradicional,12.467532467532468,puangue,COSTA,75.0293621533327
